Song,Artist,Album,Cover Art,Year Released
Over My Dead Body,Drake,Take Care,https://upload.wikimedia.org/wikipedia/en/a/ae/Drake_-_Take_Care_cover.jpg,2011
City Girls,Young Thug & Chris Brown,Slime & B,https://i.scdn.co/image/ab67616d0000b27363e0ddbb488d0eeec0e738fc,2020
Nevada,NBA YoungBoy,"Sincerely, Kentrell",https://upload.wikimedia.org/wikipedia/en/9/93/YoungBoy_Never_Broke_Again_-_Sincerely%2C_Kentrell.png,2021
2 seconds,Jhene Aiko,Sailing Soul(s),https://i1.sndcdn.com/artworks-Tq5wCNqj824s-0-t1080x1080.jpg,2011
bad vibes forever,XXXTentacion,bad vibes forever,https://upload.wikimedia.org/wikipedia/en/5/56/Bad_vibes_forever_xxxtentacion.jpg,2019
4everybody,LUCKI,single,https://i1.sndcdn.com/artworks-000280383305-qqhlfy-t500x500.jpg,2018
How Vampz Feel,glokk40spaz,Da Real Oso,https://i1.sndcdn.com/artworks-000280383305-qqhlfy-t500x500.jpg,2018
Change My Wayz,Luh Tyler,single,https://i.scdn.co/image/ab67616d00001e0285ecf1be4c87277a8745e50b,2023
And This is Just the Intro,Tory Lanez,PLAYBOY,https://i.scdn.co/image/ab67616d0000b2736cb77fdd20d0377bc978a380,2021
Recognize (ft. Drake),PARTYNEXTDOOR,PARTYNEXTDOOR 2,https://i.scdn.co/image/ab67616d0000b2734abe8b5d722c2d2231625a12,2014
